127.0.0.1 - - [06/Feb/2015:07:55:03 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/images/sort_asc.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9794
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:55:06 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
